rounded_time,ecg,time_seconds
40750.0,2192.461009174312,0.0
40760.0,2276.5621814475026,7.298579472218989
40770.0,1866.3012232415902,17.398774861103448
40780.0,2446.9495412844035,27.487691750000522
40790.0,2644.994063680518,37.2916668088219
40800.0,2383.6437308868503,47.099131305549236
40810.0,2357.65749235474,57.215472472220426
40820.0,2336.6666666666665,67.29334252777335
40830.0,1924.1549439347605,77.39352391666034
40840.0,2165.954638124363,87.48224852776912
40850.0,1976.9686994063682,97.29847345587768
40860.0,1974.0504587155963,107.11014474999683
40870.0,1950.0117227319063,117.20472419444559
40880.0,2387.7854230377166,127.3047614166644
40890.0,2204.0142711518856,137.41256663888635
40900.0,2170.1386340468907,147.49936052777048
40910.0,2286.69347004857,157.313519397052
40920.0,2337.486748216106,167.1163679722158
40930.0,2304.652395514781,177.2243055277795
40940.0,2278.8557594291537,187.30282819444255
40950.0,2499.6233435270133,197.39168913888716
40960.0,2283.514840798705,207.2023584558774
40970.0,2398.664118246687,217.04165158332762
40980.0,1686.1534148827727,227.13297591666196
40990.0,2467.484199796126,237.21668013888848
41000.0,2695.894495412844,247.32449013888981
41010.0,2823.302242609582,257.4057777499984
41020.0,1871.033129459735,267.4978250277709
41030.0,2564.6627091203454,277.3315453970572
41040.0,2410.64627930683,287.1334636944375
41050.0,2236.5357798165137,294.9935448499964
41470.0,305.3761467889908,304.9935448499964
41480.0,77.74464831804282,312.00628673095343
41490.0,1051.2726809378184,322.09267823095433
41500.0,2212.8283864004316,331.9076223289885
41510.0,1661.9108053007135,341.73473939761607
41520.0,1318.55249745158,351.83178467539256
41530.0,1514.6462793068297,361.9209211753914
41540.0,1180.4887869520896,372.01517895317374
41550.0,1585.0453318942257,381.8256743878155
41560.0,1047.6819571865444,391.6459233976202
41570.0,1713.967380224261,401.74052684206254
41580.0,891.2293577981651,411.8382216753962
41590.0,2007.1376146788991,421.92714867539325
41600.0,1218.8409785932722,432.02438256428286
41610.0,1683.7482161060143,442.1103256198403
41620.0,1676.8337830545063,451.93782750546234
41630.0,1869.0897043832824,461.75253628650535
41640.0,1309.1126401630988,471.8387100087275
41650.0,899.55249745158,481.93574384206295
41660.0,1924.0881753312947,492.02783600873227
41670.0,2114.3562691131497,502.12507711983926
41680.0,2403.802482460874,511.9472343289963
41690.0,2079.3073394495414,521.7445348420661
41700.0,2429.755351681957,531.8496850642841
41710.0,2472.5820591233437,541.9365044531733
41720.0,2563.1605504587155,552.0336897309535
41730.0,2185.021916411825,562.1309736753974
41740.0,1725.76956287102,571.9477589172238
41750.0,2559.3725790010194,581.7667588420591
41760.0,2225.138124362895,591.8527093420635
41770.0,2642.652210175146,599.9903572915573
